old_name,new_name
Acca.lanuginosa_Daza.4526,
Acca.macrostema_Wood.10312,
Accara.elegans_Costa.670,
Accara.elegans_Vasconcelos.485,
Agonis.flexuosa_T17.02988.MR17.G4,
Algrizea.macrochlamys_Giulietti.1648,
Algrizea.macrochlamys_Urdampilleta.404,
Algrizea.minor_Faria.4157,
Allosyncarpia.ternata_Genome.KC180806,
Amomyrtella.guilii_Landrum.12253,
Amomyrtus.luma_RBGE.19961065,
Amomyrtus.meli_RBGE.19961083,
Angophora.costata_Genome.KC180805_MELU108350,
Archirhodomyrtus.beckleri_Wilson.sn,Archirhodomyrtus.beckleri_Wilson.sn_UNSW23517
Archirhodomyrtus.turbinata_Soewarto.11,
Austromyrtus.dulcis_Belsham.77,
Backhousia.subargentea_Wilson.UNSW22896,Backhousia.subargentea_Wilson.sn_UNSW22896
Blepharocalyx.eggersii_Vasconcelos.458,
Blepharocalyx.salicifolius_Costa.560,
Blepharocalyx.salicifolius_Faria.4195,
Blepharocalyx.salicifolius_Landrum.11232,
Blepharocalyx.salicifolius_Lucas.78,
Blepharocalyx.salicifolius_MelloSilva.1679,
Blepharocalyx.salicifolius_Negritto.927,
Callistemon.rigidus_Genome.MN794317,Melaleuca.linearis.var.linearis_Genome.MN794317
Calycolpus.australis_Faria.6269,
Calycolpus.calophyllus_Betancur.14498,
Calycolpus.cochleatus_Wurdack.5903,
Calycolpus.goetheanus_Vasconcelos.332,
Calycolpus.legrandii_Ibrahim.28,
Calycolpus.moritzianus_ParraO.480,
Calycorectes.ekmanii_Flickinger.46,
Calycorectes.moana_Flickinger.61,
Campomanesia.adamantium_Ibrahim.157,
Campomanesia.adamantium_Ibrahim.180,
Campomanesia.adamantium_Vasconcelos.474,
Campomanesia.aromatica_Ibrahim.140,
Campomanesia.cavalcantina_Ibrahim.197,
Campomanesia.cavalcantina_Ibrahim.206,
Campomanesia.costata_Ibrahim.187,
Campomanesia.dichotoma_Ibrahim.123,
Campomanesia.eugenioides.var.desertorum_Ibrahim.185,
Campomanesia.eugenioides.var.desertorum_Ibrahim.194,
Campomanesia.eugenioides.var.eugenioides_Ibrahim.204,
Campomanesia.guaviroba_Faria.3076,
Campomanesia.guaviroba_Lucas.201,
Campomanesia.guaviroba_Urdampilleta.362,
Campomanesia.guazumifolia_Belsham.M86,
Campomanesia.guazumifolia_Faria.3054,
Campomanesia.guazumifolia_Ibrahim.183,
Campomanesia.guazumifolia_JBRJ.343648,
Campomanesia.guazumifolia_Matos.918,
Campomanesia.ilhoensis_Ibrahim.122,
Campomanesia.laurifolia_Tuler.531,
Campomanesia.neriiflora_Ibrahim.176,
Campomanesia.pubescens_MelloSilva.1669,
Campomanesia.reitziana_Ibrahim.231,
Campomanesia.rhombea_Ibrahim.223,
Campomanesia.velutina_Vasconcelos.507,
Campomanesia.xanthocarpa_Blum.10.109,
Campomanesia.xanthocarpa_Costa.613,
Campomanesia.xanthocarpa_Ibrahim.170,
Chamguava.schippii_SantamariaAguilar.9833,
Cloezia.artensis_Wilson.7122,
Curitiba.prismatica_Lima.551,
Decaspermum.fruticosum_Vasconcelos.730,
