"old_tips","new_tips"
"Acca.lanuginosa_Daza.4526","Acca.lanuginosa"
"Acca.macrostema_Wood.10312","Acca.macrostema"
"Accara.elegans_Vasconcelos.485","Accara.elegans"
"Agonis.flexuosa_T17.02988.MR17.G4","Agonis.flexuosa"
"Algrizea.macrochlamys_Giulietti.1648","Algrizea.macrochlamys"
"Algrizea.minor_Faria.4157","Algrizea.minor"
"Allosyncarpia.ternata_Genome.KC180806","Allosyncarpia.ternata"
"Amomyrtella.guilii_Landrum.12253","Amomyrtella.guilii"
"Amomyrtus.luma_RBGE.19961065","Amomyrtus.luma"
"Amomyrtus.meli_RBGE.19961083","Amomyrtus.meli"
"Angophora.costata_Genome.KC180805_MELU108350","Angophora.costata"
"Archirhodomyrtus.beckleri_Wilson.sn_UNSW23517","Archirhodomyrtus.beckleri"
"Archirhodomyrtus.turbinata_Soewarto.11","Archirhodomyrtus.turbinata"
"Austromyrtus.dulcis_Belsham.77","Austromyrtus.dulcis"
"Backhousia.subargentea_Wilson.sn_UNSW22896","Backhousia.subargentea"
"Blepharocalyx.eggersii_Vasconcelos.458","Blepharocalyx.eggersii"
"Blepharocalyx.salicifolius_Lucas.78","Blepharocalyx.salicifolius"
"Melaleuca.linearis.var.linearis_Genome.MN794317","Melaleuca.linearis.var.linearis"
"Calycolpus.australis_Faria.6269","Calycolpus.australis"
"Calycolpus.calophyllus_Betancur.14498","Calycolpus.calophyllus"
"Calycolpus.cochleatus_Wurdack.5903","Calycolpus.cochleatus"
"Calycolpus.goetheanus_Vasconcelos.332","Calycolpus.goetheanus"
"Calycolpus.legrandii_Ibrahim.28","Calycolpus.legrandii"
"Calycolpus.moritzianus_ParraO.480","Calycolpus.moritzianus"
"Calycorectes.ekmanii_Flickinger.46","Calycorectes.ekmanii"
"Calycorectes.moana_Flickinger.61","Calycorectes.moana"
"Campomanesia.adamantium_Vasconcelos.474","Campomanesia.adamantium"
"Campomanesia.aromatica_Ibrahim.140","Campomanesia.aromatica"
"Campomanesia.cavalcantina_Ibrahim.197","Campomanesia.cavalcantina"
"Campomanesia.costata_Ibrahim.187","Campomanesia.costata"
"Campomanesia.dichotoma_Ibrahim.123","Campomanesia.dichotoma"
"Campomanesia.eugenioides.var.desertorum_Ibrahim.194","Campomanesia.eugenioides.var.desertorum"
"Campomanesia.eugenioides.var.eugenioides_Ibrahim.204","Campomanesia.eugenioides.var.eugenioides"
"Campomanesia.guaviroba_Urdampilleta.362","Campomanesia.guaviroba"
"Campomanesia.guazumifolia_Faria.3054","Campomanesia.guazumifolia"
"Campomanesia.ilhoensis_Ibrahim.122","Campomanesia.ilhoensis"
"Campomanesia.laurifolia_Tuler.531","Campomanesia.laurifolia"
"Campomanesia.neriiflora_Ibrahim.176","Campomanesia.neriiflora"
"Campomanesia.pubescens_MelloSilva.1669","Campomanesia.pubescens"
"Campomanesia.reitziana_Ibrahim.231","Campomanesia.reitziana"
"Campomanesia.rhombea_Ibrahim.223","Campomanesia.rhombea"
"Campomanesia.velutina_Vasconcelos.507","Campomanesia.velutina"
"Campomanesia.xanthocarpa_Costa.613","Campomanesia.xanthocarpa"
"Chamguava.schippii_SantamariaAguilar.9833","Chamguava.schippii"
"Cloezia.artensis_Wilson.7122","Cloezia.artensis"
"Curitiba.prismatica_Lima.551","Curitiba.prismatica"
"Decaspermum.fruticosum_Vasconcelos.730","Decaspermum.fruticosum"
"Decaspermum.humile_Belsham.M82","Decaspermum.humile"
"Decaspermum.vitisidae_Vasconcelos.729","Decaspermum.vitisidae"
"Eucalyptus.perriniana_Lucas.283","Eucalyptus.perriniana"
"Eucalyptus.tetragona_Udovicic.177","Eucalyptus.tetragona"
"Eugenia.abunan_PereiraSilva.16487","Eugenia.abunan"
"Eugenia.acutata_Vasconcelos.506","Eugenia.acutata"
"Eugenia.altissima_Faria.2582","Eugenia.altissima"
"Eugenia.anastomosans_Holst.9383","Eugenia.anastomosans"
